,y
35555,no
17542,no
9630,no
40115,no
45171,no
9396,no
31237,yes
35824,no
24318,no
41433,no
25386,no
21890,no
26104,no
1921,no
29385,no
19665,no
37994,no
17074,no
13034,no
18909,no
40469,no
22588,no
595,no
41714,yes
33891,no
4506,no
41297,yes
6305,no
44118,no
11084,no
1843,no
7172,no
33739,yes
44992,no
14402,no
37557,no
8344,yes
19659,no
41806,no
2737,no
28526,no
20517,no
1250,no
24445,no
26949,no
22740,no
4744,no
18689,no
34772,no
7596,no
6209,no
36675,no
4558,no
11365,no
24442,no
10613,no
25201,no
26596,no
18197,no
5068,no
31404,no
41130,no
28056,no
3665,no
12418,no
14738,no
26302,no
23602,no
40869,yes
10077,no
28851,no
34297,no
33335,yes
2495,no
6330,no
12084,no
15703,yes
26199,no
37696,no
17905,no
25335,no
18524,no
39811,yes
27711,no
33363,no
12054,no
28759,no
9325,no
13850,no
11230,no
36229,no
11159,no
13587,no
29214,no
28599,no
36785,yes
37827,no
10259,no
15746,no
23244,no
2475,no
21225,yes
12402,no
5507,no
38955,yes
40701,yes
16572,no
37083,no
28784,no
29916,no
26364,no
34446,no
2953,no
20522,no
3743,no
43662,no
4648,no
22646,no
26520,no
1432,no
28667,no
28741,no
16573,no
11457,no
7907,no
11520,no
33391,no
10262,no
6835,no
35479,no
23068,no
1320,no
9126,no
21573,no
6202,no
33613,no
41670,no
24241,no
6631,yes
35499,no
43818,yes
29997,no
40273,no
23,no
13832,no
8704,no
44088,no
24545,no
36504,no
23937,no
40122,yes
32165,no
23748,no
21373,no
10328,no
40174,no
23460,no
1811,no
38285,no
41137,no
30306,no
31456,no
36850,no
18320,yes
43512,yes
21457,no
12913,no
21439,no
27992,no
26703,no
37398,no
34038,yes
6836,no
1862,no
20107,no
42046,yes
27394,no
37943,no
12557,no
26992,no
24443,no
8215,no
22957,no
38691,no
15167,no
4857,no
17052,no
32397,no
2894,no
17104,yes
15542,no
31600,no
20150,no
4743,no
826,no
911,no
41966,no
17677,no
16094,no
536,no
4951,no
4481,no
26777,no
3652,no
6302,no
37403,no
30585,no
8081,no
20183,no
8893,no
39582,yes
5842,no
11622,yes
26930,no
18570,no
38752,yes
21043,no
17105,no
37007,no
19744,no
33499,no
32168,no
38614,no
19720,no
43305,yes
41933,yes
32262,no
28517,no
44949,no
17825,no
29229,yes
20579,no
18517,no
11410,no
29453,no
17197,no
24062,yes
12204,no
5509,no
16328,no
717,no
37132,no
12816,no
38554,no
36108,no
14875,no
17904,no
2431,no
16219,no
15535,no
26070,no
20795,no
22838,no
19753,no
1509,no
25421,no
42274,yes
17787,no
12737,no
21993,no
19408,no
22880,no
429,no
28410,no
26071,no
3010,no
44821,yes
19013,no
304,no
7026,no
37957,no
17861,no
10564,no
3847,no
36814,no
15267,no
37487,no
25582,no
27651,no
31255,no
13363,no
3025,no
36660,no
18584,no
293,no
210,no
41772,yes
31844,no
3396,no
12327,no
10759,no
21252,no
9015,no
31339,yes
25742,no
6749,no
6093,no
11630,no
43743,no
21075,no
4577,no
1244,no
21588,no
20585,no
1086,no
10780,no
26352,no
22380,no
1782,no
25589,yes
21936,no
32850,no
18972,no
23642,no
34085,yes
21418,no
22732,no
5217,no
16386,no
19750,no
10047,no
696,no
40811,no
13288,no
29750,no
27158,no
39540,no
13063,no
30193,no
10675,no
33607,no
30944,no
35909,no
13394,no
33003,no
28384,no
22850,no
1123,no
43325,yes
31990,no
13780,no
30252,no
33331,no
26990,no
32197,no
10387,no
12020,no
22127,yes
43492,no
894,no
25881,no
33285,no
21176,yes
8727,no
36301,no
5462,no
24064,yes
9545,no
2261,no
35282,no
17781,no
4628,no
33132,no
20376,no
7491,no
37862,no
4407,no
6049,no
18368,no
1245,no
30499,no
32473,no
11339,no
30285,no
16755,no
40505,no
18558,no
24403,no
41571,yes
26154,no
22000,no
12774,no
11079,no
93,no
41890,no
3328,no
28803,no
818,no
8392,yes
3824,no
28217,no
32267,no
23891,no
25997,no
31133,yes
11475,no
8152,no
199,no
40831,no
13756,no
40282,yes
24921,yes
24360,no
44906,no
10416,yes
45123,no
2165,no
24353,no
25445,no
18304,no
11275,no
29683,no
10893,no
27905,no
2607,no
9288,no
8402,no
34212,no
42520,no
22434,no
8950,no
20717,no
5818,no
18170,no
38085,no
8724,no
29597,no
14757,no
32332,no
37986,no
44066,no
4858,no
8234,no
44501,yes
3113,no
21524,no
34499,no
6182,no
30724,no
38633,no
31867,no
45206,yes
12990,no
7855,no
11358,no
579,no
12669,no
957,no
21793,no
27201,no
10070,yes
3498,no
29775,no
38470,no
17055,no
4491,no
4057,no
1594,no
41379,no
44948,no
26344,no
33670,no
34529,no
43151,yes
22488,no
40958,yes
30721,no
17964,no
33162,no
29359,no
10518,no
27048,no
18101,no
34919,no
13150,no
36593,no
43957,no
16024,no
42395,yes
33192,no
4215,no
11778,no
38995,no
33127,no
12190,no
8239,no
11775,no
3089,no
4123,no
16687,no
31356,yes
5276,yes
18059,no
5381,no
10207,no
43804,no
5205,no
10012,no
2604,no
7264,no
40832,no
27244,no
7436,no
43162,no
39749,no
37970,no
16179,no
20888,no
32323,no
1728,no
3805,no
13642,no
1652,no
32211,no
12425,no
5495,no
32829,no
16248,no
13535,no
539,no
8691,no
10435,no
39215,no
12267,no
8034,yes
10835,no
26678,no
11736,no
38130,no
38342,no
37203,no
19475,no
34168,no
44538,yes
38542,no
41885,yes
597,no
34458,no
29054,no
4428,no
18740,no
40726,no
16852,no
17374,no
8847,no
41073,yes
1515,no
13337,no
33672,no
2244,no
22234,yes
19016,no
13651,no
15761,no
39446,no
8400,no
21775,no
7187,no
16135,no
29966,no
5757,no
32968,no
6750,no
30930,no
17954,no
2013,no
5260,no
32618,no
24080,yes
38876,no
13254,no
16184,yes
20468,no
35701,no
559,no
30685,no
6909,no
29654,yes
7620,no
33703,yes
35316,no
6781,no
10884,no
31198,yes
35409,no
36113,no
27788,no
32640,no
9507,no
33159,no
40054,yes
19302,no
7881,no
22045,no
13785,no
19541,no
21519,no
3352,no
15577,no
23800,no
42993,yes
31530,no
12827,no
29871,no
26723,no
3187,no
6941,no
13759,yes
25293,no
18196,no
4271,yes
29211,no
44898,yes
313,no
35768,no
11034,no
2200,no
20736,yes
27456,no
20830,no
15016,no
8231,no
10436,no
1136,no
8360,no
26021,no
10268,no
37418,no
43004,yes
31204,no
11673,no
17890,no
38298,no
40010,no
23531,no
26413,no
22020,no
37814,no
3074,no
34531,no
44383,no
30423,no
13216,no
6091,no
9744,no
25130,no
43750,yes
21539,no
40705,yes
19913,no
19575,no
40177,yes
34634,no
29602,no
31550,no
34580,no
15193,no
30182,no
41221,yes
24039,yes
12045,no
43129,yes
11751,no
5275,no
6969,no
5871,no
18158,no
37622,yes
27294,yes
7535,no
39729,yes
32327,no
14582,no
5765,no
22375,no
23552,no
32292,no
24843,no
17386,no
16866,no
74,no
28028,no
31697,no
37248,no
39885,no
27319,no
298,no
26752,no
40823,no
23259,no
38875,no
10215,no
32904,no
12030,no
40434,yes
20048,no
12702,no
35547,no
31411,no
8116,no
30814,no
37322,no
42982,yes
44312,yes
4696,no
6496,no
2119,no
24261,no
43497,no
13807,yes
33254,no
21652,no
2649,no
23584,no
30080,no
39819,yes
14894,no
42611,no
26659,no
44785,no
3133,no
4387,no
15409,no
43783,yes
11869,no
18193,no
28232,no
35809,no
22745,no
44668,no
11979,no
21338,no
29826,no
37297,no
26797,no
22681,no
30134,no
29143,no
44975,yes
40143,yes
12718,yes
41926,yes
11037,no
43141,no
36399,no
6545,no
41120,no
3146,no
2086,no
40568,no
30725,no
43379,yes
30707,no
12740,no
44166,no
39014,no
2423,no
31168,no
11233,no
32742,no
24298,no
24601,no
24424,no
22374,no
34386,no
16189,no
32582,no
2422,no
38142,yes
967,no
6646,no
1610,no
26361,no
34319,no
4691,no
40360,no
10479,no
35439,no
22103,no
38957,no
11258,no
26121,no
28899,no
1603,no
16394,no
13020,no
3458,no
29144,no
40788,no
1487,no
40719,yes
22196,no
36784,no
16092,no
44793,yes
37344,no
19431,no
14670,no
24164,no
4051,no
18420,no
41278,yes
32123,no
35427,no
38480,no
7229,no
15033,no
19617,no
14331,no
24367,no
9704,no
19238,no
6555,no
12961,no
4314,no
43443,no
9032,no
42477,yes
7356,no
34710,no
42935,yes
29006,no
17634,no
18014,no
34150,yes
37773,no
13372,no
18298,no
7043,no
23561,no
2877,no
37531,no
17191,no
23294,no
18631,no
19508,no
31682,no
4414,no
16960,yes
3203,no
2967,no
17082,no
43683,yes
37109,no
28785,no
27855,no
39437,no
2715,no
7015,no
12595,no
2644,no
33590,no
13491,no
41932,yes
35294,no
21366,no
30399,no
13960,no
101,no
29773,no
12604,no
17704,no
17214,no
9828,no
37823,no
21455,no
31911,no
27060,yes
9179,no
11298,no
20648,no
36139,no
32611,no
23907,no
37423,no
21858,yes
12723,no
38575,no
16792,no
13219,no
42120,no
22907,yes
7507,no
42484,no
1628,no
42246,yes
40461,yes
20742,no
25442,no
45179,no
24374,no
38809,no
2522,no
814,no
18675,no
34108,yes
9867,no
12089,yes
11997,no
17995,no
24174,yes
27542,no
3420,no
11271,no
30327,no
31073,yes
26312,no
44110,yes
25258,no
17741,no
43295,no
21266,no
18268,no
19639,no
7130,no
25558,no
6031,no
5134,no
28969,yes
4694,no
15216,no
40215,no
36242,no
12145,yes
44173,yes
17996,no
13228,yes
41541,no
31605,no
34093,no
33315,no
43693,yes
13551,no
27315,no
17660,no
32750,no
33921,yes
13339,no
6898,no
37019,no
1222,no
43811,yes
18017,no
43678,yes
1426,no
40230,no
38820,no
40723,yes
41319,no
13877,no
6513,no
41540,no
31449,no
1092,no
21513,no
17343,no
12093,no
22089,no
40332,no
14063,no
37422,no
33479,yes
25210,no
22194,no
27967,no
29075,no
3796,no
7384,no
40974,no
17334,no
32358,no
18093,no
36370,no
24034,no
17529,no
5055,yes
22872,no
10027,no
41923,yes
13648,no
5744,no
33186,no
3066,no
13113,no
38903,no
25072,no
19117,yes
39211,no
10924,no
34532,no
10065,no
27135,no
2315,no
4778,no
23541,no
39002,no
43092,yes
7095,no
17287,no
12202,no
19288,no
13697,no
27451,no
24575,no
18551,no
39265,no
42078,yes
6113,no
39797,no
13843,no
3809,no
2248,no
36934,no
20815,no
19366,no
309,no
33766,no
19574,no
11875,no
39897,no
6687,no
10099,no
44757,yes
1146,no
26888,no
20357,no
20600,no
40531,no
5397,no
36314,no
24221,no
36097,no
41769,no
37341,no
5648,no
2728,no
34860,no
17216,no
12480,no
14827,no
28408,no
33958,no
16261,no
22345,no
6155,no
4128,no
29739,no
9815,no
30019,no
14627,no
981,no
12891,no
26397,yes
12214,no
31982,no
32320,no
15527,no
43201,yes
13263,no
25474,no
24988,no
39387,yes
43062,no
23040,no
12983,no
44763,yes
40921,no
39434,no
11228,no
9293,no
18061,no
20561,no
11687,no
25217,no
42826,no
31105,yes
39361,yes
34157,yes
12410,no
4695,no
15950,no
23153,no
27806,no
38341,no
26433,no
1537,no
35982,no
15232,no
43475,yes
5421,no
23525,no
18082,no
25638,no
1513,no
27845,no
16468,no
30330,no
19500,no
1697,no
11757,no
23226,no
35680,no
35421,no
26560,no
25916,no
23875,no
180,no
36737,no
37413,no
11343,no
34119,no
20010,no
41083,yes
13006,no
33255,no
7137,no
3020,no
28662,no
20257,no
27461,no
2805,no
23474,no
27732,no
5167,no
29085,no
30145,no
6329,no
43555,no
28735,no
40329,no
32901,no
26804,no
40269,no
11405,no
36178,no
29450,no
38886,no
14468,no
33383,no
34803,no
28206,no
33191,no
27027,no
10532,no
13589,no
22747,no
42416,no
29273,no
17689,no
40571,no
43161,no
33395,no
11143,no
40431,no
35300,no
16798,no
8190,no
34645,no
8803,no
37656,no
256,no
37782,no
14369,no
32717,no
25787,no
7660,no
38422,no
8532,no
36888,no
20162,no
989,no
35852,no
29598,no
21376,no
31864,no
5707,no
44424,yes
14896,no
1859,no
27334,no
38839,no
2776,no
32790,no
42746,no
21864,no
11213,yes
769,no
18324,no
9121,no
20147,no
38469,no
21086,no
25634,no
10671,no
37103,no
2386,no
37528,no
7275,no
36831,no
7200,no
7160,no
41662,no
10590,no
18363,no
24753,no
10422,no
23848,no
24057,no
24473,no
40809,yes
12489,no
8954,no
38928,yes
42614,no
20619,yes
13362,no
30876,no
2705,no
14689,no
38963,no
17728,no
31845,no
35880,no
16273,no
37883,no
19343,no
27984,no
2277,no
40586,no
27743,no
42045,no
30451,no
8673,no
732,no
2512,no
20836,no
2580,no
8737,no
10858,no
4227,no
41912,yes
24228,no
6623,no
43713,no
33503,no
35729,no
43615,yes
33138,no
41972,no
14396,no
14488,no
25687,no
40837,no
32417,no
36419,yes
37461,no
26904,no
398,no
38623,no
44686,no
22313,no
4276,no
42470,yes
44514,no
4143,no
41747,yes
19965,no
16262,no
26430,no
29279,no
16284,no
7621,no
9515,yes
37265,no
5735,no
34810,no
43938,yes
28657,no
40819,no
5018,no
6461,no
18148,no
7890,no
43569,yes
45019,no
13703,no
6596,no
23625,no
11214,no
27737,no
37547,no
32538,no
38869,yes
38004,no
21950,no
683,no
33504,no
19823,yes
40700,no
25237,no
43717,no
13637,no
21668,no
3120,no
5353,no
9717,no
38862,no
10298,no
28766,no
15832,no
24338,no
40731,yes
26944,no
20673,no
1680,no
16001,no
20215,no
17194,no
22792,no
36492,no
30523,no
21264,no
22539,no
40176,no
5615,no
33814,no
2695,no
39994,no
44928,no
37231,no
26296,no
35431,no
33714,no
10301,no
20085,no
20943,no
6832,no
31349,no
38429,no
43605,yes
4688,no
12171,no
40022,no
41321,no
25964,no
23030,no
25565,no
25725,no
10657,no
24446,no
24787,no
7368,no
4736,no
17243,no
36962,no
27236,no
8270,no
3826,no
44168,yes
26900,no
19667,no
44614,yes
34998,no
41179,no
37760,no
17042,no
19325,no
39779,yes
19154,no
16289,no
16452,no
6013,no
29079,no
28799,no
2105,no
27904,no
26485,no
26362,no
29170,no
44377,no
11020,no
38172,no
42374,no
5922,no
3953,no
16399,no
3154,no
1694,no
10982,no
1191,no
22837,no
13021,no
24301,no
13781,no
36658,no
41291,yes
18824,no
42984,no
39601,no
19727,no
3690,no
11005,no
11971,no
32336,no
21546,no
27760,no
11248,no
537,no
37936,no
41485,no
16894,no
27505,no
4959,no
2270,no
12716,no
44402,no
7771,no
3607,no
37791,no
34906,no
32185,no
44027,no
39084,no
17576,no
1381,no
12061,no
43744,no
23876,no
20475,no
21283,no
8608,no
13629,no
24821,no
24373,no
38115,yes
34506,no
23061,no
2094,no
42511,yes
33158,no
4060,no
34958,no
5505,no
4800,no
44485,no
16517,yes
25547,no
41691,no
18175,no
43409,yes
11763,no
24349,no
2583,no
20778,no
7065,no
38248,yes
39386,no
10807,no
22900,no
22605,no
34762,no
16741,no
282,no
1179,no
12159,yes
5590,no
38457,no
27350,no
32757,no
16035,no
16070,no
36684,no
34008,no
28927,no
41998,no
558,no
25637,no
28976,no
45180,no
8582,no
21812,no
2518,no
31287,no
5414,no
6805,no
19649,no
13055,no
16840,no
25141,no
43769,no
34671,no
7951,no
31846,yes
35344,no
8421,no
11680,no
1419,no
42975,yes
12805,no
38710,no
9770,no
28273,no
41839,no
45185,yes
31964,yes
32723,no
42757,no
25303,no
45077,no
22225,no
21336,no
34934,no
24139,yes
18869,no
11435,no
2470,no
1208,no
16292,no
4545,no
24105,no
18688,no
5989,no
12297,no
6927,no
335,no
9600,no
21267,no
43954,yes
972,no
43368,no
6310,no
23496,no
29218,no
35096,no
39846,yes
35626,no
44520,yes
25891,no
1215,no
4053,no
20929,no
7347,no
20015,no
27039,no
4698,no
18602,no
43721,yes
31977,no
36928,no
10626,no
15449,no
16161,no
40857,yes
41868,no
43272,no
35816,no
35319,no
39802,no
31455,no
23266,no
17783,no
38237,yes
12018,no
18048,no
28932,no
38544,yes
36940,no
18569,no
4223,no
17796,no
37320,no
31714,no
33866,no
32412,no
33801,no
28319,no
1155,no
28006,no
2179,no
26708,no
29494,no
36119,no
30125,no
36657,no
38915,no
22441,no
35600,no
15822,no
1417,no
41285,no
349,no
13957,no
44527,yes
33447,no
4144,no
7904,no
29202,yes
4336,no
9402,no
17389,no
3507,no
9873,no
11170,no
25919,no
27899,no
35865,no
9821,no
17700,no
41647,no
33636,no
1752,no
44543,no
26319,no
14001,no
38037,no
6271,no
42836,no
14477,no
33901,no
21235,no
18049,no
11861,no
26552,no
37268,no
14138,no
4656,no
31108,yes
41568,no
27128,no
16115,no
33579,no
42091,yes
35910,no
44972,yes
41337,no
5869,no
2986,no
6373,no
10415,no
7916,yes
31500,no
44665,yes
24184,no
30573,no
5114,no
1081,no
21540,no
10892,no
42895,yes
23097,no
37727,no
22086,no
6395,no
31332,no
33614,no
40323,yes
31444,no
30881,no
33932,no
19236,no
38467,no
10386,no
41841,yes
22100,no
25831,no
19857,no
43579,yes
18529,no
24911,no
29820,no
24627,no
28124,no
43319,yes
25697,no
37405,no
3150,no
16812,no
31604,yes
11314,no
25054,no
2222,no
3834,no
5815,no
42365,no
28893,no
5335,no
37755,no
40806,no
16854,no
25837,no
40859,no
40553,no
7341,no
19130,no
40095,no
32022,no
33544,no
36623,no
15157,no
1879,no
18029,no
22079,no
10279,no
19910,no
8971,no
4266,no
6222,no
6149,no
40415,no
44228,yes
38797,no
40759,no
1713,no
25131,no
6933,no
23747,no
18617,no
1765,no
32081,no
24004,no
31259,no
16137,no
7476,no
22169,no
26315,no
13834,no
36132,no
9164,no
3459,no
11608,no
11284,yes
38379,yes
30861,no
13900,no
8697,no
6614,no
35081,no
19489,yes
15099,no
14741,no
613,no
1397,no
8897,no
26385,no
31633,no
31182,yes
13977,no
29458,no
34264,no
27994,no
9427,no
2468,no
25020,no
7652,no
31876,no
29430,yes
5947,no
41361,no
12934,no
19022,yes
39295,no
13293,no
20179,no
10754,no
16717,no
22211,no
14299,no
18326,no
33643,no
38150,no
20649,no
25824,no
29055,no
37988,no
16406,no
38965,no
15015,no
26474,no
34467,yes
37174,no
15531,no
10725,no
37179,no
26140,no
25953,no
1829,no
21319,no
17201,no
16659,no
6693,no
35757,no
24158,yes
26265,no
33755,yes
1206,no
12844,no
38877,no
26501,no
29501,yes
37867,no
19984,no
44922,no
35964,no
34147,yes
20426,no
33481,no
8236,no
3108,no
25588,no
11398,no
9326,no
33918,yes
23293,no
905,no
17873,yes
7469,no
31030,yes
33007,no
34488,no
24865,no
26779,no
8546,no
20186,no
42468,yes
22220,no
3898,no
25727,no
43499,yes
41209,no
22114,no
588,no
14877,no
34267,no
33362,no
38935,no
15532,no
39407,yes
32603,yes
747,no
20038,no
4464,no
34259,no
36147,no
20032,no
30001,no
9914,no
3247,no
15296,no
8315,no
549,no
12006,no
22075,no
15954,no
37198,no
13291,no
22606,no
16477,no
44190,no
34486,no
13579,no
18421,no
13193,no
7900,no
344,no
3139,no
39172,yes
40210,no
11375,no
14702,no
37694,no
12101,no
30238,no
20425,no
20208,no
2561,no
25222,no
30099,no
29045,no
27993,no
859,no
19974,no
23609,no
17126,no
11760,no
16870,no
36963,no
1395,no
22724,no
43093,no
17655,no
42772,yes
34127,yes
27298,no
15059,no
41372,no
15659,yes
1744,no
22117,no
33979,no
40903,no
43641,yes
7783,no
22666,no
40394,yes
27689,no
44728,no
38196,no
22645,no
16081,no
33035,no
34032,yes
38371,no
2153,no
6678,no
18502,no
2149,no
15798,no
4162,no
20597,no
4189,no
38938,no
2056,no
3908,no
42605,yes
10525,no
34551,no
20969,no
38865,no
23779,no
17659,no
28477,no
10895,no
10822,no
39583,yes
1930,no
44595,no
5552,no
2123,no
9519,no
40751,no
34953,yes
9289,no
26454,no
25518,no
28756,no
40408,yes
9936,no
3900,no
4410,no
40436,yes
31218,yes
16845,no
32995,no
40752,yes
43274,yes
21994,no
11963,no
34233,no
9098,no
30389,no
9542,no
36857,no
16643,no
13108,no
37981,no
14664,no
36455,no
37514,yes
16053,no
26000,no
19994,yes
21216,no
8626,no
32455,no
28330,no
12407,no
14543,no
22351,yes
5946,no
9777,no
2147,no
26448,no
18891,no
42368,no
12250,yes
24537,no
23680,no
14773,no
4746,no
26661,no
36483,no
35302,no
9264,no
14438,no
31175,no
20034,no
4776,no
27040,no
5579,no
43489,no
43784,yes
32916,no
4515,no
18281,no
38277,no
2411,no
38609,no
8300,no
32485,no
9414,no
29580,no
36841,no
20741,no
14644,no
40938,no
8980,no
26960,no
27459,no
34502,yes
22722,no
35558,no
4012,no
30249,no
22276,no
4034,no
18261,no
2627,no
10173,no
35659,no
10419,no
3644,no
40240,no
36498,no
34563,no
37939,no
18966,no
6531,no
23985,no
26850,no
36127,no
31826,no
43711,yes
9436,no
18069,no
40393,yes
40665,no
30796,no
20145,no
6081,no
37364,no
2582,no
27615,no
14678,no
17766,no
1926,no
15977,no
2976,no
9997,no
36609,yes
35752,no
33378,no
35906,no
41325,no
18146,no
44816,yes
34156,no
2124,no
15766,no
19926,no
34890,no
11696,no
36148,no
16569,no
34417,no
13615,no
41350,no
3653,no
3783,no
23918,no
41231,yes
37637,no
20024,no
14462,no
9445,no
13839,no
14375,no
15756,no
13920,no
5713,no
11163,no
27012,no
41724,no
40523,yes
10313,no
42080,yes
44090,no
18028,no
16125,no
27771,no
20602,no
10976,no
34474,no
43897,yes
372,no
21082,no
28300,no
1428,no
11835,no
44841,no
35621,no
37831,no
38445,no
5789,no
15473,no
17316,no
15841,no
35762,no
39365,yes
25138,no
27671,no
43444,no
14960,no
37561,no
38042,no
37832,no
38706,no
35572,no
3620,no
29668,no
38665,no
5179,no
37237,no
43316,yes
41480,no
28340,no
21948,no
22518,no
21716,no
1354,no
31878,no
12465,no
5878,no
31400,yes
31381,no
9222,no
32184,no
27762,no
5673,no
38926,yes
38985,no
13775,no
40849,no
19728,no
10360,no
15745,no
6886,no
33690,no
855,no
13125,yes
24134,yes
19662,no
5378,no
20915,no
13945,no
26700,no
17977,no
38225,no
38562,no
15082,no
8752,no
2670,no
362,no
39218,no
39129,no
43503,yes
20807,no
25323,no
34677,no
39070,no
19931,no
4076,no
12234,no
5400,no
6244,no
31076,no
19591,no
11770,no
30741,no
10256,no
11270,no
31104,no
40635,yes
40079,yes
41149,yes
25877,no
6926,no
37399,no
32929,no
20992,no
26710,no
7761,no
20217,no
44448,yes
8415,no
25415,no
22624,no
5210,no
12886,no
44809,yes
36002,no
19594,no
11222,no
27752,no
8760,yes
28829,no
10968,no
4692,no
41084,no
30366,no
27648,no
17276,no
36374,no
90,no
3936,no
32043,no
42941,yes
22945,no
24550,no
4192,no
3024,no
34840,no
37421,no
19961,no
5031,no
27447,no
26902,no
5183,no
16542,no
1780,no
41452,yes
41155,no
19221,yes
19419,no
39008,no
18114,no
26593,no
2609,no
13918,no
23901,no
806,no
27074,no
3991,no
29121,no
20769,yes
2274,no
41648,yes
33587,no
14200,no
15790,no
3557,yes
37996,no
7844,no
10186,no
19411,no
29583,no
45082,no
43999,no
44562,no
20681,yes
40679,yes
34077,yes
30356,no
12176,no
29616,no
30137,no
22153,no
17832,no
18278,no
34280,no
33227,no
42957,no
20334,no
19620,no
35368,no
24873,no
31158,yes
5093,no
34779,no
29653,no
2293,no
33103,no
14796,no
35454,yes
21469,no
2626,no
21698,no
25806,no
36027,no
37373,no
39151,no
7973,no
21752,no
32872,no
12353,no
33330,no
21939,no
38910,no
21736,no
21921,no
2355,no
565,no
16520,no
11299,no
19752,no
1160,no
42309,yes
6034,no
17932,no
22708,no
8903,no
31040,no
35656,no
14601,no
23157,no
22282,no
32107,no
28299,no
20780,no
39791,yes
9749,no
35361,no
9086,no
40216,no
3554,no
5637,no
36739,no
13032,no
39119,no
26805,no
4159,no
1467,no
17160,no
40722,no
40643,yes
34468,no
7387,no
42872,yes
14024,no
7778,no
32129,no
36988,no
33601,no
41695,yes
27154,no
40040,no
41352,no
3933,no
32764,no
11719,no
41226,no
15747,no
34334,no
27467,no
10052,no
19195,no
11740,yes
2137,no
21851,yes
36341,no
7098,no
30468,no
8556,no
15724,no
3839,no
38513,no
21804,no
31523,no
5265,no
25194,no
32016,no
27952,no
38047,no
4706,no
21215,no
6411,no
40253,yes
21099,no
14730,yes
15129,no
25119,no
636,no
34007,yes
6102,no
27580,no
32601,no
14508,no
43252,yes
27724,no
31243,yes
1584,no
13388,no
36735,no
43360,yes
43980,no
25873,no
20785,no
17196,no
34768,yes
39015,no
24583,no
31230,yes
19407,no
29576,no
18701,no
1915,no
24044,yes
17509,no
23831,no
38638,no
24953,no
4472,no
24355,no
36172,no
35662,no
37838,no
18450,no
7010,no
26766,no
31729,no
19298,no
29890,no
39004,no
43893,yes
4001,no
6798,no
28081,no
36606,no
6430,no
14766,no
5881,no
28628,no
22210,no
12924,no
42398,yes
28123,no
42086,yes
13680,no
30714,no
29312,no
44361,no
20996,no
17965,no
33386,no
29967,no
22413,no
32676,no
40013,no
25058,no
31125,no
17357,no
19282,yes
6023,no
38473,no
7456,no
4721,no
5383,no
39663,yes
20298,no
1838,no
14245,no
16148,no
20139,no
40155,no
6775,no
43254,yes
6040,no
20237,no
34171,no
9949,no
6255,no
24428,no
28970,no
44745,yes
13606,no
23896,no
29747,yes
13864,no
20491,no
13165,no
11999,no
17372,no
18124,no
42508,no
36358,no
40666,no
6160,no
30902,no
12667,no
14316,no
7646,no
18853,no
44607,no
8251,no
38628,yes
31665,no
22394,no
11128,no
38456,no
26257,no
29702,no
39174,no
15847,yes
15097,no
2519,yes
2625,no
6972,no
10180,no
12758,yes
720,no
29005,no
7543,yes
23267,no
36466,no
33114,no
8451,no
16884,no
6789,no
28406,no
11430,no
26782,yes
24571,no
4179,no
20409,no
24875,no
43214,no
44399,yes
18250,no
18969,no
17844,no
26263,no
26459,no
10728,no
36126,no
5476,no
