,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
15,51,0,297,1,0,415,4,375,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,yes,no,no,no
16,49,0,3028,1,0,216,2,259,3,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,no,no,no,no
17,34,0,1011,0,0,253,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,yes,no,yes,no
18,50,0,0,0,0,916,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,no,no,no,no
19,52,0,809,0,0,121,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,no,no,no,no
20,36,0,19,1,1,109,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,no,no,no,no
21,47,0,1122,1,0,222,5,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,no,no,no,no
22,33,0,599,1,0,29,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,no,no,no,no
23,31,0,7118,1,0,210,1,168,2,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,no,no,no,no
24,35,0,-659,1,1,30,2,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,no,no,no,no
25,32,0,471,1,0,379,2,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,no,no,no,no
26,38,0,-51,0,1,102,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,no,no,no,no
27,29,0,417,1,0,234,11,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,no,no,no,no
28,58,0,937,0,0,155,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,no,no,no,no
29,38,0,-421,1,0,187,1,332,5,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,no,no,no,no
30,58,0,4007,0,0,598,4,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,no,no,yes,no
31,32,0,2,1,0,100,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,yes,no,no,no
32,35,0,448,0,1,1031,6,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,no,yes,yes,no
33,34,0,381,1,0,83,1,262,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,no,no,no,no
34,36,0,-1629,1,1,337,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,no,no,no,no
35,22,0,1157,1,1,336,2,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,no,no,yes,no
36,36,0,1589,1,0,345,2,341,6,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,no,no,no,no
37,38,0,994,0,0,119,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,no,no,yes,no
38,35,0,-133,1,0,160,2,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,no,no,no,no
39,42,0,1520,1,0,115,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,no,no,no,no
40,51,0,93,1,1,221,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,no,no,no,no
41,60,0,-63,1,0,1434,5,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,no,yes,yes,no
42,45,0,751,0,0,176,4,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,no,no,no,no
43,59,0,204,0,0,286,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,no,no,no,no
44,39,0,2299,1,0,450,1,271,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,no,no,no,no
45,43,0,2047,1,0,163,2,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,no,no,no,no
46,29,0,181,1,0,180,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,no,no,no,no
47,33,0,1278,0,0,649,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,yes,no,no,no
48,34,0,277,1,0,76,2,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,no,no,no,no
49,41,0,-456,0,0,190,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,no,no,no,no
50,26,0,222,0,0,318,1,120,3,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,yes,yes,yes,yes
51,50,0,3117,0,0,44,2,164,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,no,no,no,no
52,34,0,463,1,0,11,11,360,4,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,no,no,no,no
53,41,0,13,1,0,106,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,no,no,no,no
54,25,0,565,1,0,175,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,no,no,no,no
55,42,0,299,1,0,253,2,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,no,no,no,no
56,29,0,247,1,0,134,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,no,no,no,no
57,33,0,2147,0,0,669,1,94,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,no,no,yes,no
58,36,0,2547,0,0,292,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,no,no,no,no
59,51,0,462,1,0,164,2,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,no,no,no,no
60,30,0,62,0,0,213,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,no,no,no,no
61,26,0,2020,0,0,42,3,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,no,no,no,no
62,30,0,0,0,0,173,4,562,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,no,no,no,no
63,35,0,495,0,0,266,1,87,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,yes,no,no,no
64,40,0,-740,1,0,126,3,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,no,no,no,no
65,23,0,966,1,0,83,2,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,no,no,no,no
66,32,0,0,1,0,77,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,no,no,no,no
67,44,0,306,1,0,374,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,no,no,no,no
68,55,0,51,0,0,94,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,no,no,no,no
69,34,0,147,1,0,80,3,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,no,no,no,no
70,32,0,-515,1,1,19,6,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,no,no,no,no
71,40,0,1820,1,1,173,3,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,no,no,no,no
72,52,0,633,1,0,292,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,no,no,no,no
73,36,0,138,1,0,84,3,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,no,no,no,no
74,33,0,179,1,0,432,2,181,4,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,no,no,yes,no
75,37,0,1142,1,0,309,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,no,no,no,no
76,37,0,2672,1,0,549,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,no,no,no,no
77,47,0,0,0,0,591,1,10,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,yes,no,no,no
78,27,0,1134,0,0,825,1,183,4,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,yes,yes,yes,yes
79,43,0,0,1,0,111,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,no,no,no,no
80,47,0,-107,0,0,236,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,no,no,no,no
81,45,0,-839,1,0,68,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,no,no,no,no
82,41,0,6563,0,0,136,8,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,no,no,no,no
83,31,0,147,0,0,81,3,96,5,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,no,yes,yes,yes
84,44,0,7863,0,0,59,6,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,no,no,no,no
85,36,0,1053,1,0,147,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,no,no,no,no
86,26,0,-132,0,0,12,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,no,no,no,no
87,32,0,186,0,0,418,2,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,no,no,no,no
88,49,0,176,1,1,102,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,no,no,no,no
89,52,0,935,0,0,86,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,no,no,no,no
90,35,0,2461,0,0,205,2,81,4,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,no,no,yes,no
91,47,0,1361,0,0,59,3,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,no,no,no,no
92,33,0,271,1,0,801,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,yes,no,no,no
93,58,0,1713,0,0,544,2,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,no,no,no,no
94,49,0,164,1,0,1080,5,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,no,no,yes,no
95,48,0,86,1,0,98,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,no,no,no,no
96,27,0,691,1,0,418,2,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,no,no,yes,no
97,32,0,35,0,0,199,6,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,no,no,no,no
98,43,0,2567,1,0,109,1,360,2,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,no,no,no,no
99,49,0,5802,0,0,175,3,104,2,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,no,yes,no,yes
100,37,0,8135,1,0,358,1,184,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,no,no,no,no
101,33,0,215,0,0,41,9,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,no,no,no,no
102,37,0,239,1,0,140,2,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,no,no,no,no
103,31,0,13099,0,0,6,9,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,no,no,no,no
104,39,0,2805,1,0,102,23,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,no,no,no,no
105,50,0,2320,1,0,310,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,no,no,no,no
106,64,0,315,0,0,154,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,yes,no,no,no
107,49,0,1944,0,0,773,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,no,no,no,no
108,26,0,1164,0,0,116,1,301,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,no,no,no,no
109,62,0,5008,0,0,139,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,no,no,yes,no
110,39,0,1179,0,0,284,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,yes,no,no,no
111,37,0,392,1,0,118,3,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,no,no,no,no
112,34,0,553,0,0,45,12,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,no,no,no,no
113,25,0,1957,0,0,1207,4,385,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,yes,yes,yes,no
114,47,0,25,0,1,81,6,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,no,no,no,no
115,48,0,2519,0,0,105,5,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,no,no,no,no
116,34,0,1611,0,1,197,7,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,no,no,yes,no
117,32,0,322,1,0,192,2,272,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,no,no,no,no
118,38,0,1403,0,0,146,2,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,no,no,no,no
119,31,0,335,1,0,226,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,no,no,no,no
120,32,0,280,1,0,59,4,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,no,no,no,no
121,34,0,10,0,0,71,5,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,no,no,no,no
122,44,0,185,1,0,194,2,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,no,no,no,no
123,55,0,5836,0,0,192,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,no,no,no,no
124,56,1,-1968,0,0,60,3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,no,no,no,no
125,45,0,4112,0,0,140,13,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,no,no,no,no
126,50,0,3002,0,0,125,2,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,no,no,no,no
127,44,0,1534,0,0,95,1,95,3,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,yes,yes,no,yes
128,46,0,138,0,0,277,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,no,no,yes,no
129,39,0,324,1,0,340,2,312,4,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,no,no,no,no
130,33,0,659,1,0,311,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,no,no,yes,no
131,29,0,489,1,0,332,3,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,no,no,yes,no
132,40,0,7968,0,0,263,2,180,2,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,yes,yes,yes,yes
133,56,0,4914,0,0,70,4,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,no,no,no,no
134,30,0,1780,1,0,116,12,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,no,no,no,no
135,46,0,0,1,1,166,5,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,no,no,no,no
136,26,0,3704,0,0,238,4,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,yes,no,yes,no
137,67,0,2,0,0,1118,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,no,yes,no,no
138,31,0,60,1,1,389,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,no,no,no,no
139,47,0,2518,1,1,132,1,186,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,no,no,no,no
140,29,0,1012,1,0,496,3,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,no,no,no,no
141,60,0,711,0,0,355,4,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,no,no,no,no
142,62,0,115,0,0,75,3,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,no,no,no,no
143,57,0,1276,1,0,103,4,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,no,no,no,no
144,49,0,364,0,0,134,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,no,no,no,no
145,43,0,20,0,0,590,2,255,2,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,no,no,no,no
146,29,0,1441,1,0,80,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,yes,no,no,no
147,46,0,2904,0,0,277,2,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,no,no,no,no
148,44,1,0,1,0,123,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,no,no,no,no
149,45,0,-584,1,1,306,2,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,no,no,no,no
150,28,0,1025,1,0,168,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,no,no,no,no
151,36,0,1521,1,0,243,2,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,no,no,no,no
152,31,1,147,1,0,12,5,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,no,no,no,no
153,44,0,29312,0,0,226,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,no,no,no,no
154,49,0,-969,0,0,61,2,2,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,no,no,no,no
155,40,0,123,1,0,247,1,241,3,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,no,no,no,no
156,31,0,-367,1,1,352,2,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,no,no,no,no
157,33,0,8339,1,0,335,2,165,5,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,no,no,no,no
158,32,0,3345,1,0,1200,3,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,no,yes,yes,no
159,55,0,-53,0,0,225,4,6,3,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,no,no,no,no
160,37,0,490,1,1,739,2,325,3,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,no,no,no,no
161,35,0,5417,1,0,303,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,no,no,no,no
162,46,0,1596,1,0,106,7,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,no,no,no,no
163,45,0,305,1,0,211,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,no,no,no,no
164,49,0,503,0,0,297,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,no,no,no,no
165,31,0,816,0,0,100,2,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,no,no,no,no
166,31,0,849,1,1,295,2,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,no,no,no,no
167,41,1,81,0,0,212,3,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,no,no,no,no
168,59,0,4744,0,0,879,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,yes,yes,yes,no
169,60,0,79,1,0,301,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,no,no,no,no
170,59,0,2194,1,0,16,9,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,no,no,no,no
171,36,0,650,1,0,170,2,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,no,no,no,no
172,64,0,34,0,0,244,2,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,yes,no,yes,no
173,22,0,948,0,0,215,1,197,2,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,yes,no,yes,no
174,35,0,514,1,0,247,2,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,no,no,no,no
175,42,0,345,1,1,307,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,no,no,no,no
176,46,0,0,0,0,96,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,no,no,no,no
177,58,0,6762,0,0,9,25,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,no,no,no,no
178,46,0,965,0,0,177,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,no,no,no,no
179,42,0,86,1,0,385,3,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,no,no,no,no
180,43,0,0,1,0,113,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,no,no,no,no
181,42,0,-404,1,1,562,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,no,no,no,no
182,38,0,1198,1,0,63,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,no,no,no,no
183,34,0,176,1,0,67,1,368,5,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,no,no,no,no
184,52,0,4,0,1,30,9,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,no,no,no,no
185,33,0,352,1,0,225,2,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,no,no,no,no
186,32,0,725,1,0,303,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,no,no,no,no
187,57,0,3012,0,0,98,4,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,no,no,no,no
188,53,0,392,1,0,59,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,no,no,no,no
189,26,0,3,1,0,610,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,no,no,no,no
190,41,0,5389,0,0,209,5,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,no,no,no,no
191,29,0,580,1,1,1311,2,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,yes,yes,no,no
192,32,0,89,0,0,435,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,no,no,no,no
193,39,0,1281,1,1,177,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,no,no,no,no
194,35,0,206,1,0,144,2,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,no,no,no,no
195,47,0,57,1,0,72,3,369,4,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,no,no,no,no
196,37,0,1053,0,0,405,3,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,no,no,no,no
197,48,0,58,1,0,110,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,no,no,no,no
198,46,0,526,0,0,326,1,96,3,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,no,yes,no,yes
199,31,0,1301,1,0,140,3,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,no,no,no,no
200,45,0,22928,0,0,113,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,no,no,no,no
201,58,0,1333,0,0,278,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,no,no,yes,no
202,55,0,797,0,0,24,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,no,no,no,no
203,26,0,8750,0,0,98,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,no,no,no,no
204,33,0,215,1,0,1058,1,17,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,no,yes,yes,no
205,33,0,359,1,1,130,1,148,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,no,no,no,no
206,42,0,-1781,1,1,197,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,no,no,no,no
207,50,0,339,1,0,43,3,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,no,no,no,no
208,31,0,387,1,0,228,2,370,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,no,no,no,no
209,58,0,983,0,0,139,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,no,no,no,no
210,33,0,730,1,0,70,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,no,no,no,no
211,56,0,187,1,0,156,2,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,no,no,no,no
212,48,0,569,1,1,151,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,no,no,no,no
213,54,0,1383,1,1,622,4,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,no,no,no,no
214,31,0,3220,0,0,74,4,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,no,no,no,no
215,30,0,77,0,0,267,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,no,no,no,no
216,30,0,1081,0,0,377,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,no,no,no,no
217,39,0,1209,0,0,60,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,no,no,no,no
218,30,0,48,0,0,144,2,187,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,no,no,no,no
219,46,0,312,1,0,108,4,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,no,no,no,no
220,38,0,217,0,1,93,3,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,no,no,no,no
221,34,0,473,0,0,94,11,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,no,no,no,no
222,54,0,814,1,0,95,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,no,no,no,no
223,37,0,2848,1,0,280,2,147,3,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,no,no,no,no
224,62,0,557,0,0,185,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,yes,no,yes,no
225,67,0,65,0,0,320,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,no,no,no,no
226,29,0,1441,1,0,185,1,85,2,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,no,no,no,yes
227,48,0,476,0,0,489,3,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,no,no,no,no
